"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Oregon County, MO"	"29149"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Oregon County, MO"	"29149"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
"Oregon County, MO"	"29149"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Oregon County, MO"	"29149"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Oregon County, MO"	"29149"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Oregon County, MO"	"29149"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Osage County, MO"	"29151"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Ozark County, MO"	"29153"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Decedent's home"	"4"	31	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Other"	"7"	11	Not Applicable	Not Applicable
"Pemiscot County, MO"	"29155"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Perry County, MO"	"29157"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Decedent's home"	"4"	36	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Pettis County, MO"	"29159"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Medical Facility - Outpatient or ER"	"2"	14	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Decedent's home"	"4"	47	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Other"	"7"	12	Not Applicable	Not Applicable
"Phelps County, MO"	"29161"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Pike County, MO"	"29163"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Medical Facility - Outpatient or ER"	"2"	22	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Decedent's home"	"4"	85	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Platte County, MO"	"29165"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Decedent's home"	"4"	53	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Polk County, MO"	"29167"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Medical Facility - Outpatient or ER"	"2"	24	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Decedent's home"	"4"	64	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Other"	"7"	15	Not Applicable	Not Applicable
"Pulaski County, MO"	"29169"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Putnam County, MO"	"29171"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Ralls County, MO"	"29173"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Decedent's home"	"4"	23	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Randolph County, MO"	"29175"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Ray County, MO"	"29177"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Reynolds County, MO"	"29179"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Ripley County, MO"	"29181"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Medical Facility - Inpatient"	"1"	55	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Medical Facility - Outpatient or ER"	"2"	105	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Decedent's home"	"4"	328	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Other"	"7"	127	Not Applicable	Not Applicable
"St. Charles County, MO"	"29183"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"St. Clair County, MO"	"29185"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Decedent's home"	"4"	25	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Ste. Genevieve County, MO"	"29186"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Medical Facility - Inpatient"	"1"	23	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Medical Facility - Outpatient or ER"	"2"	52	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Decedent's home"	"4"	155	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Other"	"7"	38	Not Applicable	Not Applicable
"St. Francois County, MO"	"29187"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Medical Facility - Inpatient"	"1"	172	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Medical Facility - Outpatient or ER"	"2"	331	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Medical Facility - Dead on Arrival"	"3"	65	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Decedent's home"	"4"	973	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Nursing home/long term care"	"6"	11	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Other"	"7"	310	Not Applicable	Not Applicable
"St. Louis County, MO"	"29189"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Saline County, MO"	"29195"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Schuyler County, MO"	"29197"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Scotland County, MO"	"29199"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Decedent's home"	"4"	44	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Other"	"7"	13	Not Applicable	Not Applicable
"Scott County, MO"	"29201"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Shannon County, MO"	"29203"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Shelby County, MO"	"29205"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Stoddard County, MO"	"29207"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Decedent's home"	"4"	38	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Stone County, MO"	"29209"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Sullivan County, MO"	"29211"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Sullivan County, MO"	"29211"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
